Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,2,Oct,0.987,0.354665339,1010.194572,21.27992031,7.185,14.09492031
MRM,Ore,2,Nov,1.027,0.354665339,1051.134575,21.27992031,7.2715,14.00842031
MRM,Ore,2,Dec,1.07,0.354665339,1095.145078,21.27992031,7.2057,14.07422031
MRM,Ore,2.1,Jan,1.07,0.360195822,1078.330109,21.61174931,7.9099,13.70184931
MRM,Ore,2.1,Feb,1.07,0.360195822,1078.330109,21.61174931,8.3314,13.28034931
MRM,Ore,2.1,Mar,1.027,0.360195822,1034.995348,21.61174931,7.9672,13.64454931
MRM,Ore,2.1,Apr,0.958,0.360195822,965.4581727,21.61174931,7.9729,13.63884931
MRM,Ore,2.1,May,0.958,0.360195822,965.4581727,21.61174931,7.5509,14.06084931
MRM,Ore,2.1,Jun,0.958,0.360195822,965.4581727,21.61174931,7.74,13.87174931
MRM,Ore,2.1,Jul,0.958,0.360195822,965.4581727,21.61174931,7.7183,13.89344931
MRM,Ore,2.1,Aug,0.958,0.360195822,965.4581727,21.61174931,7.8197,13.79204931
MRM,Ore,2.1,Sep,0.958,0.360195822,965.4581727,21.61174931,7.734,13.87774931
MRM,Ore,2.1,Oct,0.987,0.360195822,994.683942,21.61174931,7.185,14.42674931
MRM,Ore,2.1,Nov,1.027,0.360195822,1034.995348,21.61174931,7.2715,14.34024931
MRM,Ore,2.1,Dec,1.07,0.360195822,1078.330109,21.61174931,7.2057,14.40604931
MRM,Ore,2.2,Jan,1.07,0.365604587,1062.377262,21.93627521,7.9099,14.02637521
MRM,Ore,2.2,Feb,1.07,0.365604587,1062.377262,21.93627521,8.3314,13.60487521
MRM,Ore,2.2,Mar,1.027,0.365604587,1019.683596,21.93627521,7.9672,13.96907521
MRM,Ore,2.2,Apr,0.958,0.365604587,951.1751562,21.93627521,7.9729,13.96337521
MRM,Ore,2.2,May,0.958,0.365604587,951.1751562,21.93627521,7.5509,14.38537521
MRM,Ore,2.2,Jun,0.958,0.365604587,951.1751562,21.93627521,7.74,14.19627521
MRM,Ore,2.2,Jul,0.958,0.365604587,951.1751562,21.93627521,7.7183,14.21797521
MRM,Ore,2.2,Aug,0.958,0.365604587,951.1751562,21.93627521,7.8197,14.11657521
MRM,Ore,2.2,Sep,0.958,0.365604587,951.1751562,21.93627521,7.734,14.20227521
MRM,Ore,2.2,Oct,0.987,0.365604587,979.9685586,21.93627521,7.185,14.75127521
MRM,Ore,2.2,Nov,1.027,0.365604587,1019.683596,21.93627521,7.2715,14.66477521
MRM,Ore,2.2,Dec,1.07,0.365604587,1062.377262,21.93627521,7.2057,14.73057521
MRM,Ore,2.3,Jan,1.07,0.370899671,1047.21042,22.25398024,7.9099,14.34408024
MRM,Ore,2.3,Feb,1.07,0.370899671,1047.21042,22.25398024,8.3314,13.92258024
MRM,Ore,2.3,Mar,1.027,0.370899671,1005.126263,22.25398024,7.9672,14.28678024
MRM,Ore,2.3,Apr,0.958,0.370899671,937.5958717,22.25398024,7.9729,14.28108024
MRM,Ore,2.3,May,0.958,0.370899671,937.5958717,22.25398024,7.5509,14.70308024
MRM,Ore,2.3,Jun,0.958,0.370899671,937.5958717,22.25398024,7.74,14.51398024
MRM,Ore,2.3,Jul,0.958,0.370899671,937.5958717,22.25398024,7.7183,14.53568024
MRM,Ore,2.3,Aug,0.958,0.370899671,937.5958717,22.25398024,7.8197,14.43428024
MRM,Ore,2.3,Sep,0.958,0.370899671,937.5958717,22.25398024,7.734,14.51998024
MRM,Ore,2.3,Oct,0.987,0.370899671,965.9782102,22.25398024,7.185,15.06898024
MRM,Ore,2.3,Nov,1.027,0.370899671,1005.126263,22.25398024,7.2715,14.98248024
MRM,Ore,2.3,Dec,1.07,0.370899671,1047.21042,22.25398024,7.2057,15.04828024
MRM,Ore,2.4,Jan,1.07,0.376088256,1032.762905,22.56529537,7.9099,14.65539537
MRM,Ore,2.4,Feb,1.07,0.376088256,1032.762905,22.56529537,8.3314,14.23389537
MRM,Ore,2.4,Mar,1.027,0.376088256,991.2593491,22.56529537,7.9672,14.59809537
MRM,Ore,2.4,Apr,0.958,0.376088256,924.6606198,22.56529537,7.9729,14.59239537
MRM,Ore,2.4,May,0.958,0.376088256,924.6606198,22.56529537,7.5509,15.01439537
MRM,Ore,2.4,Jun,0.958,0.376088256,924.6606198,22.56529537,7.74,14.82529537
MRM,Ore,2.4,Jul,0.958,0.376088256,924.6606198,22.56529537,7.7183,14.84699537
MRM,Ore,2.4,Aug,0.958,0.376088256,924.6606198,22.56529537,7.8197,14.74559537
MRM,Ore,2.4,Sep,0.958,0.376088256,924.6606198,22.56529537,7.734,14.83129537
MRM,Ore,2.4,Oct,0.987,0.376088256,952.6513901,22.56529537,7.185,15.38029537
MRM,Ore,2.4,Nov,1.027,0.376088256,991.2593491,22.56529537,7.2715,15.29379537
MRM,Ore,2.4,Dec,1.07,0.376088256,1032.762905,22.56529537,7.2057,15.35959537
MRM,Ore,2.5,Jan,1.07,0.381176794,1018.975986,22.87060767,7.9099,14.96070767
MRM,Ore,2.5,Feb,1.07,0.381176794,1018.975986,22.87060767,8.3314,14.53920767
MRM,Ore,2.5,Mar,1.027,0.381176794,978.0264838,22.87060767,7.9672,14.90340767
MRM,Ore,2.5,Apr,0.958,0.381176794,912.3168174,22.87060767,7.9729,14.89770767
MRM,Ore,2.5,May,0.958,0.381176794,912.3168174,22.87060767,7.5509,15.31970767
MRM,Ore,2.5,Jun,0.958,0.381176794,912.3168174,22.87060767,7.74,15.13060767
MRM,Ore,2.5,Jul,0.958,0.381176794,912.3168174,22.87060767,7.7183,15.15230767
MRM,Ore,2.5,Aug,0.958,0.381176794,912.3168174,22.87060767,7.8197,15.05090767
MRM,Ore,2.5,Sep,0.958,0.381176794,912.3168174,22.87060767,7.734,15.13660767
MRM,Ore,2.5,Oct,0.987,0.381176794,939.9339236,22.87060767,7.185,15.68560767
MRM,Ore,2.5,Nov,1.027,0.381176794,978.0264838,22.87060767,7.2715,15.59910767
MRM,Ore,2.5,Dec,1.07,0.381176794,1018.975986,22.87060767,7.2057,15.66490767
MRM,Ore,2.6,Jan,1.07,0.386171105,1005.797675,23.17026633,7.9099,15.26036633
